# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Children|Self|Symbol|IPC   [IPC Coverage]
0.50%|0.22%|[.] _M0MPB3Map15set__with__hashGsRPB4JsonE|-      -
0.50%|0.11%|[.] _M0FPC111sorted__set9add__nodeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.50%|0.07%|[.] _M0FPB8new__mapGsRPB4JsonE|-      -
0.50%|0.04%|[.] _M0FPC13set8new__setGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.50%|0.00%|[.] moonbit_make_ref_array_raw (inlined)|-      -
0.50%|0.00%|[.] moonbit_malloc_array (inlined)|-      -
0.47%|0.47%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling4RoomE|-      -
0.47%|0.47%|[.] __vdso_gettimeofday|-      -
0.47%|0.07%|[.] moonbit_utf16_len_from_utf8|-      -
0.43%|0.36%|[.] _mi_page_retire|-      -
0.43%|0.18%|[.] _M0MPC13set3Set4iterGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.43%|0.04%|[.] _M0MPC16buffer6Buffer4grow|-      -
0.43%|0.00%|[.] memcpy (inlined)|-      -
0.39%|0.11%|[.] moonbit_unsafe_val_array_blit|-      -
0.39%|0.04%|[.] _M0MPC15array10FixedArray23make__and__blit_2einnerGyE|-      -
0.36%|0.36%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeN16_2aasync__driverS431GRP311moonbitlang5async9websocket4ConnE|-      -
0.36%|0.36%|[.] simdutf::haswell::implementation::utf16_length_from_utf8(char const*, unsigned long) const|-      -
0.36%|0.07%|[.] _M0MP311moonbitlang5async2io12ReaderBuffer11take__owned|-      -
0.36%|0.00%|[.] _M0MPC15array10FixedArray17blit__from__bytes|-      -
0.32%|0.00%|[.] _M0MP311moonbitlang5async6aqueue5Queue8try__getGRP27Hosi12111ws__session7MessageE|-      -
0.29%|0.07%|[.] _M0MPC14json12ParseContext9lex__zero|-      -
0.29%|0.00%|[.] memmove (inlined)|-      -
0.29%|0.00%|[.] memset (inlined)|-      -
0.25%|0.25%|[.] _M0MPC14json12ParseContext21lex__skip__whitespace|-      -
0.25%|0.22%|[.] _M0MPC16buffer6Buffer9to__bytes|-      -
0.25%|0.18%|[.] _M0IP016_24default__implP311moonbitlang5async2io6Writer5writeN16_2aasync__driverS431GRP311moonbitlang5async4http16ServerConnectionE|-      -
0.25%|0.11%|[.] _M0FPC111sorted__set7balanceGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.25%|0.07%|[.] _M0MPC15bytes9BytesView9to__owned|-      -
0.22%|0.22%|[.] _M0IP311moonbitlang5async4http6ReaderP311moonbitlang5async2io6Reader23__get__internal__buffer|-      -
0.22%|0.22%|[.] _M0MPB3Map3getGiRP37hosi1217speakup9signaling3HubE|-      -
0.22%|0.22%|[.] _M0MPC13set3Set13remove__entryGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.22%|0.22%|[.] _M0MPC13set3Set20add__entry__to__tailGRP411moonbitlang5async8internal9coroutine9CoroutineE|-      -
0.22%|0.14%|[.] _M0FP211moonbitlang5async17with__task__groupN16_2aasync__driverS714GuE|-      -
0.22%|0.11%|[.] _M0FP411moonbitlang5async8internal9coroutine22suspend__check__cancel|-      -
0.22%|0.07%|[.] _M0MP311moonbitlang5async9semaphore9Semaphore7release|-      -
0.22%|0.04%|[.] _M0MPC111sorted__set9SortedSet4iterGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.22%|0.00%|[.] _M0FPC111sorted__set9new__nodeGRP411moonbitlang5async8internal11event__loop5TimerE|-      -
0.22%|0.00%|[.] _M0MP411moonbitlang5async8internal11event__loop9EventLoop7suspend|-      -
0.18%|0.18%|[.] _M0MPB3Map20add__entry__to__tailGsRPB4JsonE|-      -
