# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cpu-clock:u'
# Event count (approx.): 14005023375
#
# Overhead|Symbol|IPC   [IPC Coverage]
0.04%|[.] 0x0000000000188919|-      -
0.04%|[.] 0x0000000000188928|-      -
0.04%|[.] 0x0000000000188943|-      -
0.04%|[.] 0x00000000001889cb|-      -
0.04%|[.] 0x0000000000188d54|-      -
0.04%|[.] 0x0000000000188d80|-      -
0.04%|[.] 0x0000000000188d84|-      -
0.04%|[.] 0x0000000000188d8b|-      -
0.04%|[.] 0x0000000000188db0|-      -
0.04%|[.] 0x0000000000188db5|-      -
0.04%|[.] 0x0000000000188dcd|-      -
0.04%|[.] 0x0000000000188df6|-      -
0.04%|[.] 0x0000000000188e69|-      -
0.04%|[.] 0x0000000000188e74|-      -
0.04%|[.] 0x0000000000189829|-      -
0.04%|[.] 0x00000000001898a4|-      -
0.04%|[.] 0x00000000001898b3|-      -


#
# (Cannot load tips.txt file, please install perf!)
#
